type,year,term,subject,monndai,img,coices,correct,kaisetu
multi,2023,後期,無線工学,"次の記述は、DSB（A3E）通信方式と比べたときのSSB（J3E）通信方式の一般的な特徴について述べたものである。 (　　）内に入れる べき字句を下の番号から選べ。 

(1) 搬送波が （　ア　） されている。 
(2) 送信電力の利用効率が （　イ　） 。 
(3) 占有周波数帯幅は約 （　ウ　） である。 
(4) 他局に混信を与える機会が （　エ　） なる。 
(5) 選択性フェージングの （　オ　） 。",, 抑圧     ｜   良い     　｜  2分の1    ｜   少なく     ｜  影響が多い ｜  強調     ｜   悪い     ｜  4分の1     ｜  多く       ｜  影響が少ない ,1-2-3-4-10,
binary,2023,後期,無線工学,次の記述は、デジタル変調について述べたものである。このうち正しいものを1、誤っているものを2として解答せよ。,,ア  ASKは、入力信号によって、搬送波の振幅が変化する方式をいう。 ｜イ  FSKは、入力信号によって、搬送波の周波数が変化する方式をいう。 ｜ウ  PSKは、入力信号によって、搬送波の振幅と位相が変化する方式をいう。 ｜エ  BPSKは、PSKのうち、位相が4種類変化する方式をいう。 ｜オ  QAMは、入力信号によって、搬送波の振幅と周波数が変化する方式をいう。,1-1-2-2-2,
multi,2023,後期,無線工学,"次の記述は、GPS（Global Positioning System）について述べたものである。（　　　）内に入れるべき字句を下の番号から選べ。 

(1) GPS 衛星は、高度が約20,000〔ｋｍ〕の （　ア　） の円軌道上に配置されている。
(2)  GPS 衛星は、軌道上を約 （　イ　） 周期で周回している。
(3) 測位に使用している周波数は （　ウ　） 帯である。
(4) 測位のためには、GPS受信機内部の時計の時間誤差の補正を含め、通常 （　エ　） 個の衛星からの電波を受信する必要がある。
(5)    GPS 衛星からの信号に含まれている （　オ　） 情報と、それぞれの衛星の軌道情報から受信点の位置を測位することができる。",,  六つ     ｜  12時間      ｜  極超短波(UHF)      ｜  2       ｜  時刻 ｜  四つ     ｜  24時間      ｜  超短波(VHF)        ｜  4      ｜  姿勢 ,1-2-3-9-5,
binary,2023,後期,無線工学,次の記述は、超短波(VHF)帯及び極超短波(UHF)帯の電波の海上伝搬等について述べたものである。このうち正しいものを1、誤っているものを2として解答せよ。,,ア  標準大気中では、幾何学的見通し距離よりも遠方まで伝搬する。 ｜イ  海面では電波はほとんど反射されない。 ｜ウ  見通し距離内での受信点の電界強度の大きさは、送信点からの距離の増加とともに振動的に変化する領域がある。 ｜エ  見通し距離内での受信点の電界強度の大きさは、送信点からの距離が同じであれば、受信点の高度には無関係である。 ｜オ  障害物の裏側に回り込む電波は、回折波という。,1-2-1-2-1,
normal,2023,前期,無線工学,"次の記述は、真空中に置かれた点電荷の周囲の電界について述べたものである。（　　）内に入れるべき字句の正しい組合せを下の番 号から選べ。ただし、図に示すように点Pに置かれたQ〔C〕の点電荷からr〔m〕離れた点Rの電界の強さ(大きさ)をE〔V/m〕とする。 

(1) 点Pに置かれた点電荷が図に示すQ〔C〕のとき、点Pから3r〔m〕離れた点Sの電界の強さ(大きさ) ES は、（　A　）〔V/m〕である。 
(2) 点Pに置かれた点電荷を図に示すQ〔C〕から3Q〔C〕に変えたとき、点Sの電界の強さ(大きさ) ES は、（　B　）〔V/m〕である。",img/202302_Kougaku_A_(1).png,1　A：E/3　　　　B：3E｜2　A：E/3　　　　B：E/3｜3　A：E/9　　　　B：E｜4　A：E/9　　　　B：3E｜5　A：E/9　　　　B：E/3,5,
normal,2023,前期,無線工学, 図に示す交流回路において、負荷の有効電力（消費電力）P が320〔W〕、負荷の力率 cos θ が 0.8 であるとき、電源から流れる電流 I 〔A〕の値として、正しいものを下の番号から選べ。ただし、電源の電圧 V の値を100〔V〕とする。,img/202302_Kougaku_A_(2).png,1  8.0 〔A〕 ｜2  6.4 〔A〕 ｜3  4.0 〔A〕 ｜4  3.2 〔A〕 ｜5  2.6 〔A〕 ,3,
normal,2023,前期,無線工学,次の記述は、バイポーラトランジスタと比較したときの電界効果トランジスタ(FET)の一般的な特徴等について述べたものである。このうち誤っているものを下の番号から選べ。 ,,1  電子又は正孔のどちらかのキャリアだけで動作する。 ｜2  電圧で電流を制御する電圧制御素子である。 ｜3  入力インピーダンスが非常に低い。 ｜4  雑音が少ない。 ｜5  接合形とMOS形がある。 ,3,
normal,2023,前期,無線工学,SSB（J3E）送信機に用いられないものを下の番号から選べ。,,1  平衡変調器 ｜2  トーン発振器 ｜3  周波数弁別器 ｜4  帯域フィルタ（BPF） ,3,
normal,2023,前期,無線工学,図は、位相同期ループ(PLL)を用いた発振器の原理的な構成例を示したものである。(　　）内に入れるべき字句の正しい組合せを下の番号から選べ。,img/202302_Kougaku_A_(5).png,1  　A：位相比較器(乗算器)   　　B：低域フィルタ(LPF) 　　　　C：電力増幅器 ｜2  　A：位相比較器(乗算器)    　   B：低域フィルタ(LPF)     　　　C：電圧制御発振器(VCO) ｜3  　A：位相比較器(乗算器)   　　B：高域フィルタ(HPF)   　　　  C：電力増幅器 ｜4  　A：平衡変調器           　　　   B：高域フィルタ(HPF) 　　　　C：電圧制御発振器(VCO) ｜5　  A：平衡変調器           　　　   B：低域フィルタ(LPF)     　　　C：電力増幅器,2,
normal,2023,前期,無線工学,図は、FM(F3E)受信機の基本的な構成例を示したものである。      (　　）内に入れるべき字句の正しい組合せを下の番号から選べ。,img/202302_Kougaku_A_(6).png,1  　A：周波数変調器     　B：スケルチ回路 ｜2  　A：周波数変調器     　B：トーン回路 ｜3  　A：周波数混合器     　B：トーン回路 ｜4  　A：周波数混合器     　B：ゲート回路 ｜5  　A：周波数混合器     　B：スケルチ回路 ,5,
normal,2023,前期,無線工学,"次の記述は、DSB (A3E) スーパヘテロダイン受信機の高周波増幅器の働きについて述べたものである。（　　）内に入れるべき字句の 正しい組合せを下の番号から選べ。 

(1) 高周波増幅器は、（　A　）から生ずる高周波がアンテナから放射されるのを防ぐ。 
(2) 高周波増幅器は、感度や（　B　）を良くする。 
(3) 高周波増幅器は、（　C　）による混信妨害を軽減する。",,1  　A：局部発振器 　　　　B：信号対雑音比(S/N) 　　　　C：影像周波数 ｜2  　A：局部発振器 　　　　B：リプル率 　　　　　　　　  C：音声周波数 ｜3  　A：局部発振器 　　　　B：リプル率 　　　　　　　　  C：影像周波数 ｜4  　A：検波器 　　　　　　B：信号対雑音比(S/N) 　　　　C：音声周波数 ｜5  　A：検波器 　　　　　　B：リプル率 　　　　　　　　  C：影像周波数 ,1,
normal,2023,前期,無線工学,"次の記述は、図に示す電波の周波数スペクトル分布とその電波型式について述べたものである。（　　）内に入れるべき字句の正しい 組合せを下の番号から選べ。ただし、電波は振幅変調の無線電話とする。また、点線部分は電波が出ていないものとする。 

(1) 図1に示す周波数スペクトル分布の電波型式は、（　A　）と記述される。 
(2) 図2に示す周波数スペクトル分布の電波型式は、（　B　）と記述される。 
(3) 図3に示す周波数スペクトル分布の電波型式は、（　C　）と記述される。",img/202302_Kougaku_A_(8).png,1  　A：A3E  　　B：J3E  　　C：H3E ｜2  　A：H3E  　　B：A3E  　　C：J3E  ｜3  　A：A3E 　　 B：H3E  　　C：J3E  ｜4  　A：H3E 　　 B：J3E  　　C：A3E  ｜5  　A：J3E 　　  B：H3E  　　C：A3E ,3,
normal,2023,前期,無線工学,次の記述は、捜索救助用レーダートランスポンダ(SART)について述べたものである。このうち誤っているものを下の番号から選べ。,,1  SARTが電波を送信するのは、捜索側の船舶又は航空機から送られた電波を受信したときである。 ｜2  捜索側の船舶又は航空機がSARTの電波を受信すると、そのレーダーの表示器上に12個の輝点列が表示される。 ｜3  捜索側の船舶又は航空機のレーダーの表示器上に表示される輝点列によって、SARTまでの距離及び方位を知ることができる。 ｜4  SARTの使用周波数帯は、捜索側の船舶又は航空機に装備されているレーダーと同じ3〔GHz〕帯である。 ｜5  手動により、動作を開始し、及び停止することができる。 ,4,
normal,2023,前期,無線工学,"次の記述は、図に示すような外観の船舶用レーダーについて述べたものである。（　　）内に入れるべき字句の正しい組合せを下の番 号から選べ。 

(1) 最大放射方向は、図の矢印X、Y及びZのうち（　A　）の方向である。 
(2) 回転部には一般に、（　B　）アンテナが装着されている。 
(3) 垂直面内指向性は、水平面内指向性に比べて（　C　）。　　　　　　　　　　　　　　　　　　　　　　　　",img/202302_Kougaku_A_(10).png,1  　　A：Z 　　　　B：スロットアレー    　　　C：鋭い ｜2  　　A：Z           　B：スロットアレー      　　　C：鋭くない ｜3  　　A：Z        　　B：ホーン          　　　　　　C：鋭い｜4 　　A： X及びY 　　　B：ホーン          　　　　C：鋭い ｜5  　　A：X及びY    　　B：スロットアレー     　　C：鋭くない,2,
normal,2023,前期,無線工学,"次の記述は、図に示す電源回路の基本的な構成例について述べたものである。（　　　）内に入れるべき字句の正しい組合せを下の 番号から選べ。 

(1) 交流電源から必要な大きさの交流電圧を作るのは、（　A　）の回路である。 
(2) 交流電圧(電流)から一方向の電圧(電流)を作るのは、（　B　）の回路である。 
(3) 整流された大きさが変化する電圧(電流)を、完全な直流電圧(電流)に近づけるのは、（　C　）の回路である。",img/202302_Kougaku_A_(11).png,1  　　A：Ⅱ      　　B：Ⅲ      　　C：Ⅰ ｜2  　　A：Ⅱ      　　B：Ⅰ      　　C：Ⅲ ｜3  　　A：Ⅲ     　　B：Ⅱ      　　C：Ⅰ ｜4  　　A：Ⅰ      　　B：Ⅱ      　　C：Ⅲ  ｜5  　　A：Ⅰ      　　B：Ⅲ      　　C：Ⅱ ,4,
normal,2023,前期,無線工学,次の記述は、図に示す小電力用の同軸給電線について述べたものである。このうち誤っているものを下の番号から選べ。,img/202302_Kougaku_A_(12).png,1  一般に外部導体を接地して用いる。 ｜2  特性インピーダンスは、50〔Ω〕や75〔Ω〕のものが多い。  ｜3  周波数がマイクロ波(SHF)のように高くなると、内部導体の表皮効果により損失が大きくなる。 ｜4  不平衡形の給電線である。 ｜5  図に示す「ア」の部分は、磁性体である。,5,
normal,2023,前期,無線工学,"次の記述は、外形が図に示すようなアナログ式のテスタ（回路計)について述べたものである。（　　　）内に入れるべき字句の正しい組 合せを下の番号から選べ。 

(1) 指示計器は、（　A　）計器が使われる。 
(2) 通常、測定ができるのは、直流電圧、直流電流、抵抗及び（　B　）である。 
(3) 抵抗測定の時の零(0)オーム調整は、両テストリードの先端を（　C　）させて行う。",img/202302_Kougaku_A_(13).png,1  　　　A：永久磁石可動コイル形 　　　　B：周波数    　　　C： 開放 ｜2  　　　A：永久磁石可動コイル形   　　　B：交流電圧   　　　C：短絡 ｜3 　　　 A：永久磁石可動コイル形   　　　B：周波数      　　　C：短絡 ｜4  　　　A：可動鉄片形            　　　　　　B：交流電圧    　　　C：短絡 ｜5  　　　A：可動鉄片形          　　　　　　 B：周波数     　　　　C：開放,2,
multi,2023,前期,無線工学,"次の記述は、図に示す理想的な演算増幅器(AOP)を用いた増幅回路について述べたものである。（　）内に入れるべき字句を 下の番号から選べ。ただし、入力電圧をVi 、出力電圧をVoとする。
 
(1) Iaは、Ia = （　ア　） 〔A〕である。 
(2) Vab = 0〔V〕であるから、V i = （　イ　） 〔V〕である。 
(3) I1とI2の関係は、 （　ウ　） である。 
(4) (3)より、Voの大きさは、|Vo | = （　エ　） 〔V〕である。 
(5) したがって、電圧増幅度A = |Vo /V i |は、A = （　オ　） である。",,0(零)     ｜  I1R1        ｜  I1 = 2 I2       ｜  2I1R2         ｜ R2 /R1 ｜  V i /R1    ｜  2I1R1       ｜  I1 = I2       ｜  I1 R2        ｜  R1 /R2 ,1-2-8-9-5,
binary,2023,前期,無線工学,次は、論理回路の名称と真理値表の組合せを示したものである。このうち正しいものを1、誤っているものを2として解答せよ。ただし、 正論理とし、A 及び B を入力、X を出力とする。,,ア AND 回路        ｜ イ OR回路             ｜ウ NAND回路          ｜エ NOR回路          ｜オ NOT回路 ,1-2-1-2-1,
multi,2023,前期,無線工学,"次の記述は、AM(A3E)通信方式と比べたときのFM(F3E)通信方式の一般的な特徴について述べたものである。（　　　）内に入れるべき 字句を下の番号から選べ。 

(1) 占有周波数帯幅が （　ア　） 。 
(2) パルス性雑音の影響を （　イ　） 。 
(3) 主に （　ウ　） の周波数帯で多く用いられる。 
(4) 同一周波数の妨害波があった場合、希望波が妨害波よりある程度 （　エ　） 。 
(5) 受信電波の強度があるレベル （　オ　） になると、受信機出力の信号対雑音比(S/N)が急激に悪くなる。",,｜狭い  ｜受けやすい  ｜中波(MF)帯及び短波(HF)帯          ｜強ければ妨害波を抑圧して通信ができる     ｜ 以下 ｜  広い  ｜ 受けにくい   ｜ 超短波(VHF)帯及び極超短波(UHF)帯｜強くても妨害波を抑圧できず通信ができない   ｜以上 ,6-7-8-4-5,
binary,2023,前期,無線工学,次の記述は、図に示す原理的な構造の円形パラボラアンテナについて述べたものである。このうち、正しいものを1、誤っているものを2として解答せよ。,img/202302_Kougaku_B_(4).png,ア  一次放射器は、反射鏡の焦点に置かれる。 ｜イ  反射鏡には、回転放物面が用いられる。 ｜ウ  反射鏡で反射された電波は、ほぼ球面波となって空間に放射される。 ｜エ  波長に比べて開口面の直径が大きくなるほど、利得は大きくなる。 ｜オ  一般に、マイクロ波（SHF）帯の周波数では用いられない。,1-1-2-1-2,
multi,2023,前期,無線工学,"次の記述は、電離層について述べたものである。（　　　）内に入れるべき字句を下の番号から選べ。 

(1) D層は、 （　ア　） する。
(2) E層は、D層より （　イ　） ところに生ずる。
(3) スポラジックE層(Es層)は、超短波(VHF)帯の電波の異常伝搬の原因と （　ウ　） 。
(4) F層の最大電子密度は、D層の （　エ　） 。 
(5) F層は、一般に （　オ　） の電波を反射する。",, 夜間に生じ、昼間には消滅    ｜  低い   ｜ なる     ｜ 最大電子密度より高い    ｜ マイクロ波(SHF)帯 ｜ 昼間に生じ、夜間には消滅  ｜ 高い   ｜ ならない  ｜  最大電子密度より低い  ｜  短波(HF)帯,6-7-3-4-10,
normal,2022,前期,無線工学,次の記述は、電気磁気に関する単位について述べたものである。このうち誤っているものを下の番号から選べ。,,1  〔T〕(テスラ)は、電束密度の単位である。 ｜2  〔H〕(ヘンリー)は、インダクタンスの単位である。 ｜3  〔Wb〕(ウェーバ)は、磁束の単位である。 ｜4  〔V/m〕(ボルト毎メートル)は、電界の強さの単位である。 ｜5  〔A/m〕(アンペア毎メートル)は、磁界の強さの単位である。,1,
normal,2022,前期,無線工学,"次の記述は、図に示す電界効果トランジスタ (FET） の原理的構造例について述べたものである。（　）内に入れるべき字句の正しい 組合せを下の番号から選べ。なお、同じ記号の (　　　)内には、同じ字句が入るものとする。 

(1) ゲート部が金属 (M)、（　A　）(O)、半導体 (S)から構成されているので、MOS FETという。 
(2) ゲートに正の電位を与えると、ソース・ドレイン間に（　B　）形のチャネルが形成され、伝導性が生じて電流が流れる。 
(3) 図に示すＦＥＴは（　B　）チャネルＦＥＴである。",img/202202_Kougaku_A_(2).png,1  　A：ガラス            　　B：p ｜2 　 A：真性半導体       　 B：p ｜3  　A：真性半導体       　 B：n ｜4  　A：酸化物           　　 B：p ｜5  　A：酸化物           　　 B：n ,5,
normal,2022,前期,無線工学, 図に示す交流回路の有効電力(消費電力)として、正しいものを下の番号から選べ。ただし、交流電源の電圧 V を100〔V〕、負荷に流れる電流 I を4〔A〕及び負荷の力率を0.8とする。 ,img/202202_Kougaku_A_(3).png,1  　　280〔W〕     ｜2  　　300〔W〕     ｜3  　　320〔W〕     ｜4  　　380〔W〕    ｜ 5  　　500〔W〕,3,
normal,2022,前期,無線工学," 次の記述は、図に示す理想的な演算増幅器(A OP)について述べたものである。 (      　 )内に入れるべき字句の正しい組合せを下の番号から選べ。 
 
(1) 入力インピーダンスは、（ A ）である。 
(2) 出力インピーダンスは、（ B ）である。 
(3) 増幅度は、( C )である。 ",img/202202_Kougaku_A_(4).png,1  　　　A：零(0)         　　B： 零(0)         　　C： 無限大(∞) ｜2  　　　A：零(0)          　　B：無限大(∞)    　　　C： 零(0) ｜3  　　　A：無限大(∞)     　　B：無限大(∞)     　　　C：零(0) ｜4  　　　A：無限大(∞)     　　　B：零(0)         　　　C： 無限大(∞) ｜5  無限大(∞)     無限大(∞)     無限大(∞) ,4,
normal,2022,前期,無線工学,次の記述は、無線電話送信機の寄生振動の発生とその影響について述べたものである。このうち誤っているものを下の番号から選べ。 ,,1  他の通信に妨害を与えるおそれがある。  ｜2  同じ周波数を多段増幅する回路では発生しない。 ｜3  トランジスタなどの回路素子を集積したIC等の回路部品が破損するおそれがある。 ｜4  発射電波の波形がひずむ。 ｜5  占有周波数帯幅が広くなる。,2,
normal,2022,前期,無線工学,"次の記述は、無線通信の変調について述べたものである。（　　　）内に入れるべき字句の正しい組合せを下の番号から選べ。
 
(1) デジタル信号の「0」と「1」に応じて、搬送波の振幅を変化させる方式を（　A　）という。 
(2) デジタル信号の「0」と「1」に応じて、搬送波の周波数を変化させる方式を（　B　）という。 
(3) デジタル信号の「0」と「1」に応じて、搬送波の位相を変化させる方式を（　C　）という。 ",,1  　　A：ASK     　　　B：FSK     　　　　C：PSK ｜2  　　A：ASK     　　　B：PSK     　　　　C：FSK ｜3  　　A：FSK     　　　B：PSK     　　　　C：ASK ｜4  　　A：FSK     　　　B：ASK     　　　　C：PSK ｜5  　　A：PSK     　　　B：FSK     　　　　C：ASK,1,
normal,2022,前期,無線工学, 次の記述は、スーパヘテロダイン受信機に高周波増幅器を設ける目的について述べたものである。このうち誤っているものを下の番号から選べ。,,1  影像周波数による混信妨害を軽減する。 ｜2  信号対雑音比(S/N)を良くする。 ｜3  近接周波数による混信妨害を軽減する。 ｜4  感度を良くする。 ｜5  局部発振器から発生する高周波がアンテナから放射されるのを防ぐ,3,
normal,2022,前期,無線工学,次の記述は、FM(F3E)受信機のスケルチ回路について述べたものである。このうち、正しいものを下の番号から選べ。 ,,1  受信電波がないとき、又は極めて弱いときに生ずる雑音を抑圧するための回路である。 ｜2  フェージングなどによる振幅変調成分を取り除くための回路である。 ｜3  入力信号の周波数変化から音声信号を取り出すための回路である。 ｜4  送信機と受信機の周波数の同期をとるための回路である。 ｜5  復調された音声信号の明りょう度を上げるための回路である。 ,1,
normal,2022,前期,無線工学,"次の記述は、デジタル通信に用いられるビットレートについて述べたものである。（　　　）内に入れるべき字句の正しい組合せを下の番 号から選べ。 

(1) デジタル通信における（　A　）を表す。 
(2) 通常、単位記号は（　B　）で表される。 
(3) 1秒間に伝送される（　C　）を示す。",,1  　A：符号誤り率     　　B：〔bps〕または〔bit/s〕     　　C：2進符号の数 ｜2  　A：符号誤り率     　　B：〔J/s〕または〔W〕      　　　C： 熱エネルギー ｜3  　A：伝送速度      　　　B：〔bps〕または〔bit/s〕     　　C：熱エネルギー ｜4  　A：伝送速度      　　　B：〔bps〕または〔bit/s〕     　　C：2進符号の数 ｜5  　A：伝送速度      　　　B：〔J/s〕または〔W〕      　　　C：熱エネルギー,4,
normal,2022,前期,無線工学,"次の記述は、捜索救助用レーダートランスポンダ(SART)について述べたものである。（　　　）内に入れるべき字句の正しい組合せを下 の番号から選べ。 

(1) SARTの使用周波数帯は、捜索側の船舶又は航空機に装備されている レーダーと同じ（　A　）帯である。 
(2) 捜索側の船舶又は航空機がSARTの電波を受信すると、そのレーダー の表示器上に（　B　）個の輝点列が表示される。 
(3) 捜索側の船舶又は航空機のレーダーの表示器上に表される輝点列によ って、SARTまでの（　C　）を知ることができる。 ",,1  　A：6〔GHz〕    　　B：12    　　　C：方位のみ ｜2  　A：6〔GHz〕    　　B：18    　　　C：方位のみ ｜3  　A：6〔GHz〕    　　B：12    　　　C：距離及び方位 ｜4  　A：9〔GHz〕    　　B：18    　　　C：方位のみ ｜5  　A：9〔GHz〕    　　B：12    　　　C：距離及び方位,5,
normal,2022,前期,無線工学,"次の記述は、電池について述べたものである。（　　　）内に入れるべき字句の正しい組合せを下の番号から選べ。なお、同じ記号の（　　) 内には同じ字句が入るものとする。
 
(1) 繰り返し充電したり、放電したりすることができる電池を（　A　）という。 
(2)（　A　）の一つである鉛蓄電池の電解液は、（　B　）が用いられる。 
(3) 鉛蓄電池の電解液の比重は、放電が進むと、（　C　）くる。",,1  　A：二次電池    　　B：希硫酸    　　C：上がって ｜2  　A：二次電池    　　B：希硫酸    　　C：下がって ｜3  　A：二次電池    　　B：希塩酸    　　C：上がって ｜4  　A：一次電池    　　B：希硫酸    　　C：下がって     ｜5  　A：一次電池    　　B：希塩酸    　　C：上がって,2,
normal,2022,前期,無線工学,"次の記述は、一般的な導波管の特徴について述べたものである。（　　　）内に入れるべき字句の正しい組合せを下の番号から選べ。 

(1) 主として、（　A　）の伝送路として用いられる。 
(2) 導波管の内部は、（　B　）である。 
(3) 電波は導波管の外壁から放射（　C　）。",,1  　A：超短波(VHF)帯       　　　B：磁性体     　　C：される ｜2  　A：超短波(VHF)帯       　　　B：中空       　　C：されない ｜3  　A：マイクロ波(SHF)帯     　　B：磁性体     　　C：される ｜4  　A：マイクロ波(SHF)帯     　　B：中空       　　C：されない ｜5  　A：マイクロ波(SHF)帯     　　B：中空       　　C：される,4,
normal,2022,前期,無線工学,"次の記述は、一般的なオシロスコープとスペクトルアナライザの取り扱い等について述べたものである。（　　）内に入れるべき字句の 正しい組合せを下の番号から選べ。 

(1) オシロスコープの画面は、横軸が（　A　）で縦軸が信号の 大きさ(電圧)である。 
(2) スペクトルアナライザの画面は、横軸が（　B　）で縦軸が 信号成分の大きさである。 
(3) 送信機の出力に含まれるスプリアス成分を計測するには、（　C　）が用いられる。",,1  　A：時間      　　B： 位相差     　　C：オシロスコープ ｜2  　A：時間       　　B：周波数     　　C：スペクトルアナライザ ｜3  　A：時間       　　B：周波数     　　C：オシロスコープ ｜4  　A：周波数     　　B：時間       　　C：オシロスコープ ｜5  　A：周波数     　　B：時間       　　C：スペクトルアナライザ,2,
normal,2022,前期,無線工学,次は、論理回路(図記号)とそのタイミングチャートの組合せを示したものである。このうち正しいものを1、誤っているものを2として解答せよ。ただし、正論理とし、A及びBを入力、Xを出力とする。 ,img/202202_Kougaku_B_(1).png,ア｜イ｜ウ｜エ｜オ,1-1-2-2-2,
multi,2022,前期,無線工学,"次の記述は、GPS(Global Positioning System)について述べたものである。（　　　）内に入れるべき字句を下の番号から選べ。 

(1) GPS衛星は、高度が約 （　ア　） の六つの円軌道上に配置されている。 
(2) GPS衛星は、軌道上を約 （　イ　） 周期で周回している。 
(3) 測位に使用している周波数は （　ウ　） 帯である。 
(4) 測位のためには、GPS受信機内部の時計の時間誤差の補正を含め、通常 （　エ　） 個の衛星からの電波を受信する必要がある。 
(5) GPS衛星からの信号に含まれている （　オ　） 情報と、それぞれの衛星の軌道情報から受信点の位置を測定することができる。",," 20,000〔km〕     ｜12時間     ｜  極超短波(UHF)      ｜ 2      ｜  姿勢 ｜  36,000〔km〕   ｜  24時間    ｜  超短波(VHF)     ｜  4     ｜ 時刻 ",1-2-3-9-10,
binary,2022,前期,無線工学,次の記述は、AM(A3E)通信方式と比べたときのFM(F3E)通信方式の一般的な特徴について述べたものである。このうち正しいものを1、誤っているものを2として解答せよ。,,ア  パルス性雑音の影響を受けやすい。 ｜イ  主に超短波(VHF)帯及び極超短波(UHF)帯の周波数帯で用いられる。 ｜ウ  同一周波数の妨害波があっても、希望波が妨害波よりある程度強ければ妨害波を抑圧して通信ができる。 ｜エ  受信電波の強度があるレベル以下になると、受信機出力の信号対雑音比(S/N)が急激に悪くなる。 ｜オ  占有周波数帯幅が狭い。,2-1-1-1-2,
multi,2022,前期,無線工学,"次の記述は、図に示すアンテナについて述べたものである。（　　）内に入れるべき字句を下の番号から選べ。 

(1) このアンテナの名称は、 （　ア　） アンテナである。 
(2) 同軸給電線の内部導体に （　イ　） の長さ l の中心導体を接続し、同じ長さ l の 導体を同軸給電線の外部導体の外側にかぶせて給電点で接続したものである。 
(3) このアンテナを大地に垂直に設置したとき、水平面内の指向性は、 （　ウ　） である。 
(4) 利得は、半波長ダイポールアンテナの利得 （　エ　） 大きさである。 
(5) 通常、 （　オ　） 帯などの周波数で使用される。",img/202202_Kougaku_B_(4).png,ブラウン     ｜  1/2波長     ｜ 全方向性     ｜  とほぼ同じ       ｜  長波(LF) ｜ スリーブ     ｜ 1/4波長     ｜ 8字形        ｜ のほぼ2倍の   ｜  超短波(VHF）、極超短波(UHF) ,6-7-3-4-10,
multi,2022,前期,無線工学,"次の記述は、超短波(VHF)帯の電波の海上伝搬等について述べたものである。（　）内に入れるべき字句を下の番号から選べ。 なお、同じ記号の(　　) 内には同じ字句が入るものとする。 

(1) 見通し距離内では、受信波は、 （　ア　） と海面からの反射波とが合成されたものである。 
(2) (1)のため、 （　ア　） と海面からの反射波が （　イ　） で合成されると、受信点の電界強度は、弱められる。 
(3) 標準大気中では、幾何学的見通し距離よりも遠方まで伝搬 （　ウ　） 。 
(4) 障害物の裏側に回り込む電波は、 （　エ　） という。 
(5) 夏季に電離層に （　オ　） が突発的に発生すると、電波は見通し距離の外まで伝搬することがある。",,F層からの反射波      ｜逆相     ｜ する       ｜  定在波       ｜  D層  ｜直接波             ｜  同相      ｜  しない    ｜  回折波     ｜  スポラジックE層(ES層) ,6-2-3-9-10,
normal,2022,後期,無線工学,"次の記述は、磁石の性質等について述べたものである。（　　）内に入れるべき字句の正しい組合せを下の番号から選べ。 

(1) 図1に示すように、二つの磁石M1及びM2それぞれのS極を互いに近づけると、M1とM2の間には、（　A　）が働く。 
(2) 図2に示すように、磁石M1のS極を鉄片Feに近づけると、鉄片Feの磁石M1に近い部分に磁極の（　B　）が現れる。 
(3) (2)のように、鉄片Feに磁極が現れる現象を（　C　）現象という。",img/202208_Kougaku_A_(1).png,1  　　A：吸引力     　　B：S 極   　　　C：電磁誘導 ｜2  　　A：吸引力     　　B：N極    　　　C：磁気誘導 ｜3  　　A：反発力     　　B：S 極   　　　C：電磁誘導 ｜4  　　A：反発力     　　B：N極   　　　C：電磁誘導 ｜5  　　A：反発力     　　B：N極   　　　C：磁気誘導,5,
normal,2022,後期,無線工学,次の記述は、図に示すトランジスタ(Tr)のベース接地電流増幅率 α とエミッタ接地電流増幅率 β について述べたものである。このうち誤っているものを下の番号から選べ。 ,img/202208_Kougaku_A_(2).png,1  α は、α < 1である。 ｜2  α は、α = IC /IEである。 ｜3  IC は、IC = IE + IB である。 ｜4  β は、β = IC /IBである。 ｜5  β を α で表すと、β = α / (1-α)である。,3,
normal,2022,後期,無線工学,"次の記述は、図に示す抵抗R、容量リアクタンスXC及び誘導リアクタンスXLの並列回路について述べたものである。 内に入れるべき字句の正しい組合せを下の番号から選べ。ただし、回路は共振状態にあるものとする。 

(1) XLに流れる電流Ⅰ0（L）の大きさは、（　A　）〔mA〕である。 
(2) 交流電圧V から流れる電流0 の大きさは、（　B　）〔mA〕である。 
(3)VとⅠ0 の位相差は、（　C　）〔rad〕である。",img/202208_Kougaku_A_(3).png,1  　　A：20      　　B：2      　　C：0 ｜2  　　A：20     　　B：22    　　　C：π/2 ｜3  　　A：100   　　B：10    　　　C：π/2 ｜4  　　A：100 　　　B：10      　　C： 0 ｜5  　　A：100      　　B：2     　　　C：0,4,
